parameter,step,step_next,cos_sim,l1_change,l2_change,realtive_change,mean_squared_change,max_abs_change
gpt_neox.embed_in.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.attention.query_key_value.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.attention.dense.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.attention.query_key_value.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.attention.dense.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.attention.query_key_value.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.attention.dense.weight,0,1,0.9999999,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,0,1,0.9999999,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,0,1,0.9999999,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.attention.query_key_value.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.attention.dense.weight,0,1,0.9999999,0.0,0.0,0.0,0.0,0.0
